tipo_evento,invitados,presupuesto,lugar,horario,comida,musica,decoracion,costo_real
Boda,100,1500,Interior,Noche,Buffet,DJ,Arreglos florales,1800
Boda,150,2000,Interior,Noche,Buffet,DJ,Arreglos florales,2350
Boda,200,3000,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,3800
Cumpleaños,30,500,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,450
Cumpleaños,50,800,Exterior,Día,A la carta,Playlist pregrabada,Guirnaldas o globos,950
Cumpleaños,70,1000,Exterior,Noche,Buffet,Playlist pregrabada,Guirnaldas o globos,1150
Quinceaños,90,1200,Interior,Día,Buffet,DJ,Guirnaldas o globos,1400
Quinceaños,120,1500,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,2100
Quinceaños,130,1800,Interior,Noche,Buffet,Música en vivo,Arreglos florales,2400
Boda,180,2500,Interior,Noche,A la carta,DJ,Centros de mesa elegantes,2900
Boda,220,3500,Exterior,Día,A la carta,Música en vivo,Centros de mesa elegantes,4000
Cumpleaños,40,600,Interior,Día,Buffet,DJ,Guirnaldas o globos,700
Cumpleaños,60,900,Exterior,Día,A la carta,Playlist pregrabada,Guirnaldas o globos,1050
Quinceaños,80,1100,Interior,Día,Buffet,DJ,Arreglos florales,1300
Quinceaños,100,1400,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,1700
Boda,160,2200,Exterior,Noche,A la carta,DJ,Arreglos florales,2600
Boda,140,1900,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,2300
Cumpleaños,55,850,Exterior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,1000
Quinceaños,110,1600,Interior,Noche,Buffet,Música en vivo,Arreglos florales,2000
Boda,210,3200,Exterior,Noche,A la carta,DJ,Centros de mesa elegantes,3700
Cumpleaños,25,400,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,380
Cumpleaños,35,550,Interior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,650
Cumpleaños,45,750,Exterior,Día,A la carta,DJ,Guirnaldas o globos,880
Cumpleaños,65,950,Exterior,Noche,Buffet,DJ,Guirnaldas o globos,1100
Cumpleaños,75,1200,Interior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,1450
Boda,110,1600,Interior,Día,Buffet,DJ,Arreglos florales,1900
Boda,120,1700,Interior,Día,Buffet,Música en vivo,Arreglos florales,2100
Boda,130,1800,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,2150
Boda,170,2300,Exterior,Día,A la carta,Música en vivo,Arreglos florales,2800
Boda,190,2700,Exterior,Noche,A la carta,DJ,Centros de mesa elegantes,3200
Quinceaños,70,1000,Interior,Día,Buffet,DJ,Guirnaldas o globos,1200
Quinceaños,85,1150,Interior,Día,Buffet,Música en vivo,Arreglos florales,1450
Quinceaños,95,1300,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,1550
Quinceaños,115,1650,Interior,Noche,A la carta,Música en vivo,Arreglos florales,2200
Quinceaños,125,1750,Exterior,Noche,A la carta,DJ,Centros de mesa elegantes,2100
Cumpleaños,20,350,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,320
Cumpleaños,80,1100,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,1350
Boda,250,4000,Exterior,Noche,A la carta,Música en vivo,Arreglos florales,4800
Boda,90,1400,Interior,Día,Buffet,DJ,Arreglos florales,1650
Boda,280,4500,Exterior,Día,A la carta,Música en vivo,Centros de mesa elegantes,5200
Cumpleaños,15,300,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,280
Cumpleaños,90,1300,Exterior,Noche,Buffet,DJ,Centros de mesa elegantes,1550
Quinceaños,60,900,Interior,Día,Buffet,DJ,Guirnaldas o globos,1050
Quinceaños,140,2000,Interior,Noche,A la carta,Música en vivo,Arreglos florales,2650
Boda,300,5000,Exterior,Noche,A la carta,Música en vivo,Arreglos florales,5800
Cumpleaños,100,1400,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,1700
Cumpleaños,85,1250,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,1450
Boda,85,1300,Interior,Día,Buffet,DJ,Arreglos florales,1550
Boda,240,3800,Exterior,Noche,A la carta,DJ,Centros de mesa elegantes,4350
Quinceaños,105,1450,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,1800
Cumpleaños,22,380,Interior,Día,No se necesita comida,Playlist pregrabada,Guirnaldas o globos,350
Cumpleaños,95,1350,Exterior,Noche,A la carta,DJ,Centros de mesa elegantes,1600
Boda,320,5500,Exterior,Día,A la carta,Música en vivo,Arreglos florales,6300
Quinceaños,75,1050,Interior,Día,Buffet,DJ,Arreglos florales,1250
Boda,75,1200,Interior,Día,Buffet,DJ,Arreglos florales,1450
Cumpleaños,18,320,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,300
Cumpleaños,52,780,Exterior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,920
Quinceaños,135,1850,Interior,Noche,A la carta,Música en vivo,Arreglos florales,2450
Boda,260,4200,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,4900
Cumpleaños,38,580,Interior,Día,Buffet,DJ,Guirnaldas o globos,680
Boda,195,2800,Exterior,Día,A la carta,DJ,Arreglos florales,3300
Quinceaños,88,1180,Interior,Día,Buffet,Música en vivo,Guirnaldas o globos,1480
Cumpleaños,28,450,Interior,Día,No se necesita comida,Playlist pregrabada,Guirnaldas o globos,420
Boda,350,6000,Exterior,Noche,A la carta,Música en vivo,Arreglos florales,6800
Quinceaños,92,1280,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,1520
Cumpleaños,42,650,Interior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,750
Boda,115,1650,Interior,Noche,Buffet,Música en vivo,Arreglos florales,2000
Cumpleaños,48,720,Exterior,Día,A la carta,DJ,Guirnaldas o globos,850
Quinceaños,78,1080,Interior,Día,Buffet,DJ,Arreglos florales,1280
Boda,270,4300,Exterior,Día,A la carta,Música en vivo,Centros de mesa elegantes,5000
Cumpleaños,33,520,Interior,Día,Buffet,Sin música,Guirnaldas o globos,600
Boda,125,1750,Interior,Día,Buffet,Música en vivo,Arreglos florales,2150
Quinceaños,118,1580,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,2000
Cumpleaños,62,880,Exterior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,1020
Boda,205,3100,Exterior,Noche,A la carta,DJ,Arreglos florales,3650
Cumpleaños,72,1080,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,1280
Quinceaños,65,950,Interior,Día,Buffet,DJ,Guirnaldas o globos,1150
Boda,380,6500,Exterior,Noche,A la carta,Música en vivo,Arreglos florales,7300
Cumpleaños,26,420,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,390
Quinceaños,145,2100,Interior,Noche,A la carta,Música en vivo,Arreglos florales,2750
Boda,155,2100,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,2450
Cumpleaños,58,820,Exterior,Día,A la carta,Playlist pregrabada,Guirnaldas o globos,980
Boda,290,4700,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,5450
Quinceaños,82,1120,Interior,Día,Buffet,Música en vivo,Arreglos florales,1420
Cumpleaños,36,560,Interior,Día,Buffet,DJ,Guirnaldas o globos,650
Boda,135,1850,Interior,Día,Buffet,Música en vivo,Arreglos florales,2250
Cumpleaños,46,700,Exterior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,820
Quinceaños,98,1350,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,1600
Boda,310,5200,Exterior,Día,A la carta,Música en vivo,Arreglos florales,5950
Cumpleaños,24,400,Interior,Día,No se necesita comida,Playlist pregrabada,Guirnaldas o globos,370
Boda,165,2250,Interior,Noche,A la carta,DJ,Arreglos florales,2650
Quinceaños,108,1480,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,1850
Cumpleaños,54,800,Exterior,Día,A la carta,DJ,Guirnaldas o globos,950
Boda,225,3400,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,4000
Quinceaños,72,1020,Interior,Día,Buffet,DJ,Arreglos florales,1220
Cumpleaños,32,500,Interior,Día,Buffet,Sin música,Guirnaldas o globos,580
Boda,400,7000,Exterior,Noche,A la carta,Música en vivo,Arreglos florales,7800
Quinceaños,155,2200,Interior,Noche,A la carta,Música en vivo,Arreglos florales,2850
Cumpleaños,68,980,Interior,Noche,Buffet,DJ,Guirnaldas o globos,1150
Boda,145,2000,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,2400
Cumpleaños,41,630,Interior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,730
Quinceaños,86,1160,Interior,Día,Buffet,Música en vivo,Arreglos florales,1460
Boda,185,2650,Exterior,Día,A la carta,DJ,Centros de mesa elegantes,3150
Cumpleaños,29,470,Interior,Día,No se necesita comida,Sin música,Guirnaldas o globos,440
Boda,175,2400,Interior,Noche,A la carta,Música en vivo,Arreglos florales,2850
Quinceaños,102,1380,Interior,Noche,Buffet,DJ,Centros de mesa elegantes,1650
Cumpleaños,51,760,Exterior,Día,Buffet,Playlist pregrabada,Guirnaldas o globos,900
Boda,330,5700,Exterior,Noche,A la carta,Música en vivo,Centros de mesa elegantes,6500
Quinceaños,76,1060,Interior,Día,Buffet,DJ,Guirnaldas o globos,1260
Cumpleaños,39,600,Interior,Día,Buffet,DJ,Guirnaldas o globos,700
Boda,215,3250,Exterior,Noche,A la carta,DJ,Arreglos florales,3800
Cumpleaños,63,900,Exterior,Día,A la carta,Playlist pregrabada,Guirnaldas o globos,1050
Quinceaños,122,1680,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,2150
Boda,255,4100,Exterior,Día,A la carta,Música en vivo,Arreglos florales,4750
Cumpleaños,27,440,Interior,Día,No se necesita comida,Playlist pregrabada,Guirnaldas o globos,410
Boda,95,1450,Interior,Día,Buffet,DJ,Arreglos florales,1700
Quinceaños,114,1550,Interior,Noche,Buffet,Música en vivo,Centros de mesa elegantes,1950
Cumpleaños,47,710,Exterior,Día,Buffet,DJ,Guirnaldas o globos,840
Boda,360,6200,Exterior,Noche,A la carta,Música en vivo,Arreglos florales,7000
